record id,topic
5001,1
5002,1
5003,0
5004,2
5005,0
5006,0
5007,1
5008,2
5009,2
5010,0
5011,2
5012,0
5013,1
5014,0
5015,2
5016,0
5017,2
5018,0
5019,1
5020,1
5021,0
5022,0
5023,1
5024,0
5025,1
5026,2
5027,1
5028,1
5029,1
5030,0
5031,0
5032,0
5033,0
5034,0
5035,0
5036,2
5037,1
5038,0
5039,1
5040,0
5041,0
5042,1
5043,1
5044,2
5045,2
5046,0
5047,1
5048,0
5049,0
5050,2
5051,1
5052,0
5053,0
5054,1
5055,1
5056,1
5057,0
5058,1
5059,1
5060,0
5061,1
5062,1
5063,1
5064,0
5065,2
5066,0
5067,0
5068,1
5069,0
5070,1
5071,0
5072,0
5073,0
5074,2
5075,1
5076,0
5077,1
5078,0
5079,0
5080,1
5081,1
5082,0
5083,2
5084,0
5085,1
5086,1
5087,2
5088,0
5089,1
5090,0
5091,1
5092,0
5093,1
5094,0
5095,0
5096,0
5097,1
5098,0
5099,0
5100,0
5101,0
5102,1
5103,0
5104,0
5105,1
5106,1
5107,1
5108,0
5109,0
5110,0
5111,2
5112,1
5113,0
5114,0
5115,1
5116,0
5117,0
5118,0
5119,1
5120,2
5121,1
5122,1
5123,2
5124,1
5125,2
5126,0
5127,2
5128,0
5129,0
5130,1
5131,1
5132,0
5133,1
5134,0
5135,1
5136,0
5137,0
5138,0
5139,1
5140,1
5141,2
5142,1
5143,1
5144,2
5145,0
5146,0
5147,1
5148,2
5149,0
5150,0
5151,2
5152,1
5153,1
5154,0
5155,0
5156,1
5157,0
5158,1
5159,2
5160,0
5161,1
5162,1
5163,0
5164,0
5165,1
5166,1
5167,2
5168,0
5169,0
5170,2
5171,0
5172,0
5173,1
5174,0
5175,1
5176,1
5177,0
5178,1
5179,2
5180,0
5181,1
5182,0
5183,0
5184,0
5185,0
5186,0
5187,0
5188,0
5189,2
5190,1
5191,0
5192,0
5193,0
5194,1
5195,0
5196,0
5197,2
5198,0
5199,1
5200,0
5201,1
5202,0
5203,1
5204,0
5205,0
5206,0
5207,0
5208,0
5209,0
5210,0
5211,0
5212,0
5213,1
5214,1
5215,2
5216,0
5217,0
5218,1
5219,0
5220,0
5221,0
5222,0
5223,1
5224,1
5225,2
5226,1
5227,1
5228,0
5229,2
5230,2
5231,0
5232,0
5233,2
5234,0
5235,0
5236,0
5237,1
5238,0
5239,2
5240,1
5241,1
5242,0
5243,0
5244,0
5245,0
5246,0
5247,0
5248,1
5249,2
5250,0
5251,0
5252,0
5253,1
5254,1
5255,1
5256,0
5257,1
5258,0
5259,2
5260,0
5261,0
5262,2
5263,0
5264,1
5265,0
5266,2
5267,1
5268,2
5269,1
5270,1
5271,1
5272,1
5273,0
5274,1
5275,2
5276,0
5277,1
5278,1
5279,0
5280,1
5281,2
5282,0
5283,0
5284,0
5285,1
5286,1
5287,0
5288,0
5289,1
5290,0
5291,0
5292,1
5293,0
5294,2
5295,0
5296,0
5297,0
5298,0
5299,0
5300,0
5301,1
5302,1
5303,0
5304,0
5305,2
5306,0
5307,0
5308,1
5309,1
5310,0
5311,0
5312,0
5313,2
5314,0
5315,1
5316,0
5317,0
5318,0
5319,1
5320,0
5321,1
5322,2
5323,0
5324,0
5325,0
5326,0
5327,2
5328,2
5329,2
5330,0
5331,0
5332,0
5333,0
5334,0
5335,2
5336,2
5337,0
5338,1
5339,1
5340,0
5341,0
5342,0
5343,2
5344,2
5345,1
5346,1
5347,0
5348,1
5349,0
5350,1
5351,1
5352,0
5353,0
5354,1
5355,1
5356,1
5357,0
5358,0
5359,1
5360,0
5361,1
5362,1
5363,0
5364,0
5365,0
5366,1
5367,1
5368,1
5369,1
5370,0
5371,2
5372,0
5373,1
5374,1
5375,1
5376,0
5377,1
5378,0
5379,1
5380,1
5381,2
5382,1
5383,0
5384,0
5385,1
5386,1
5387,0
5388,0
5389,1
5390,2
5391,1
5392,0
5393,1
5394,0
5395,0
5396,1
5397,1
5398,2
5399,0
5400,1
5401,0
5402,1
5403,1
5404,0
5405,0
5406,0
5407,1
5408,1
5409,1
5410,1
5411,1
5412,1
5413,1
5414,0
5415,1
5416,0
5417,1
5418,0
5419,1
5420,1
5421,1
5422,1
5423,0
5424,0
5425,1
5426,0
5427,1
5428,1
5429,2
5430,0
5431,0
5432,0
5433,0
5434,0
5435,0
5436,0
5437,0
5438,1
5439,0
5440,0
5441,0
5442,1
5443,0
5444,1
5445,0
5446,1
5447,0
5448,1
5449,1
5450,0
5451,0
5452,1
5453,2
5454,1
5455,1
5456,0
5457,0
5458,1
5459,0
5460,0
5461,1
5462,0
5463,2
5464,0
5465,0
5466,1
5467,2
5468,1
5469,2
5470,1
5471,1
5472,1
5473,0
5474,0
5475,2
5476,1
5477,0
5478,0
5479,1
5480,0
5481,2
5482,0
5483,1
5484,0
5485,0
5486,1
5487,0
5488,0
5489,0
5490,1
5491,0
5492,1
5493,1
5494,0
5495,1
5496,1
5497,0
5498,1
5499,0
5500,2
5501,0
5502,1
5503,1
5504,2
5505,2
5506,0
5507,0
5508,0
5509,0
5510,1
5511,1
5512,0
5513,1
5514,0
5515,1
5516,1
5517,0
5518,1
5519,1
5520,0
5521,1
5522,1
5523,0
5524,0
5525,1
5526,0
5527,0
5528,2
5529,2
5530,0
5531,0
5532,2
5533,0
5534,0
5535,0
5536,0
5537,1
5538,0
5539,1
5540,2
5541,1
5542,1
5543,0
5544,2
5545,0
5546,0
5547,1
5548,2
5549,0
5550,1
5551,0
5552,0
5553,2
5554,2
5555,1
5556,1
5557,0
5558,0
5559,0
5560,1
5561,0
5562,0
5563,0
5564,1
5565,0
5566,0
5567,1
5568,1
5569,0
5570,0
5571,0
5572,1
5573,1
5574,1
5575,1
5576,1
5577,1
5578,2
5579,2
5580,1
5581,1
5582,1
5583,0
5584,1
5585,1
5586,2
5587,0
5588,0
5589,0
5590,1
5591,0
5592,1
5593,1
5594,2
5595,1
5596,2
5597,0
5598,0
5599,1
5600,0
5601,1
5602,1
5603,0
5604,1
5605,0
5606,0
5607,0
5608,2
5609,1
5610,1
5611,1
5612,0
5613,0
5614,1
5615,0
5616,1
5617,1
5618,2
5619,0
5620,0
5621,1
5622,1
5623,1
5624,1
5625,1
5626,0
5627,2
5628,1
5629,1
5630,2
5631,2
5632,0
5633,0
5634,1
5635,0
5636,0
5637,0
5638,1
5639,1
5640,0
5641,2
5642,0
5643,0
5644,0
5645,0
5646,1
5647,0
5648,0
5649,0
5650,0
5651,2
5652,0
5653,1
5654,1
5655,0
5656,0
5657,0
5658,0
5659,2
5660,0
5661,2
5662,1
5663,0
5664,2
5665,2
5666,2
5667,1
5668,0
5669,1
5670,1
5671,0
5672,0
5673,0
5674,1
5675,1
5676,1
5677,0
5678,0
5679,0
5680,1
5681,1
5682,0
5683,0
5684,1
5685,0
5686,0
5687,1
5688,1
5689,1
5690,0
5691,2
5692,2
5693,0
5694,0
5695,1
5696,1
5697,1
5698,1
5699,1
5700,1
5701,1
5702,2
5703,1
5704,1
5705,0
5706,0
5707,1
5708,0
5709,0
5710,0
5711,0
5712,0
5713,0
5714,1
5715,1
5716,0
5717,0
5718,0
5719,1
5720,0
5721,1
5722,0
5723,1
5724,0
5725,1
5726,0
5727,1
5728,1
5729,1
5730,2
5731,0
5732,0
5733,0
5734,1
5735,1
5736,0
5737,1
5738,0
5739,1
5740,0
5741,0
5742,1
5743,2
5744,0
5745,1
5746,0
5747,0
5748,2
5749,0
5750,2
5751,1
5752,0
5753,0
5754,1
5755,1
5756,0
5757,1
5758,1
5759,0
5760,0
5761,0
5762,0
5763,0
5764,0
5765,0
5766,0
5767,0
5768,2
5769,0
5770,1
5771,0
5772,0
5773,0
5774,0
5775,0
5776,2
5777,1
5778,0
5779,1
5780,1
5781,0
5782,0
5783,0
5784,1
5785,1
5786,0
5787,0
5788,0
5789,0
5790,2
5791,1
5792,0
5793,0
5794,1
5795,0
5796,1
5797,1
5798,0
5799,1
5800,2
5801,2
5802,1
5803,1
5804,2
5805,0
5806,0
5807,1
5808,1
5809,1
5810,1
5811,0
5812,0
5813,0
5814,1
5815,2
5816,0
5817,0
5818,0
5819,0
5820,0
5821,1
5822,1
5823,0
5824,0
5825,1
5826,0
5827,1
5828,2
5829,1
5830,0
5831,1
5832,0
5833,0
5834,0
5835,0
5836,1
5837,1
5838,1
5839,0
5840,0
5841,1
5842,0
5843,0
5844,0
5845,0
5846,0
5847,1
5848,0
5849,0
5850,0
5851,0
5852,1
5853,1
5854,2
5855,0
5856,1
5857,0
5858,1
5859,0
5860,0
5861,2
5862,1
5863,1
5864,2
5865,1
5866,0
5867,0
5868,1
5869,1
5870,0
5871,1
5872,1
5873,0
5874,1
5875,2
5876,1
5877,0
5878,0
5879,0
5880,0
5881,0
5882,1
5883,0
5884,1
5885,0
5886,1
5887,1
5888,0
5889,0
5890,1
5891,0
5892,0
5893,0
5894,0
5895,0
5896,2
5897,0
5898,1
5899,2
5900,2
5901,1
5902,0
5903,1
5904,0
5905,1
5906,1
5907,1
5908,0
5909,1
5910,0
5911,1
5912,0
5913,1
5914,0
5915,1
5916,0
5917,1
5918,1
5919,1
5920,1
5921,1
5922,0
5923,1
5924,1
5925,1
5926,1
5927,2
5928,1
5929,0
5930,2
5931,0
5932,0
5933,1
5934,1
5935,1
5936,0
5937,0
5938,0
5939,0
5940,0
5941,0
5942,0
5943,2
5944,0
5945,0
5946,0
5947,1
5948,1
5949,0
5950,0
5951,0
5952,0
5953,0
5954,0
5955,0
5956,2
5957,0
5958,2
5959,1
5960,1
5961,0
5962,2
5963,1
5964,1
5965,0
5966,0
5967,1
5968,1
5969,0
5970,0
5971,0
5972,0
5973,0
5974,0
5975,0
5976,0
5977,0
5978,0
5979,0
5980,2
5981,0
5982,0
5983,1
5984,0
5985,0
5986,1
5987,1
5988,2
5989,1
5990,1
5991,1
5992,1
5993,1
5994,1
5995,1
5996,0
5997,1
5998,0
5999,2
6000,1
6001,1
6002,0
6003,0
6004,0
6005,1
6006,1
6007,1
6008,1
6009,1
6010,0
6011,1
6012,1
6013,2
6014,0
6015,1
6016,1
6017,0
6018,0
6019,1
6020,2
6021,2
6022,2
6023,1
6024,0
6025,1
6026,1
6027,0
6028,0
6029,1
6030,0
6031,1
6032,0
6033,0
6034,1
6035,0
6036,1
6037,1
6038,0
6039,1
6040,0
6041,0
6042,2
6043,1
6044,0
6045,0
6046,1
6047,0
6048,0
6049,1
6050,2
6051,1
6052,0
6053,1
6054,0
6055,1
6056,0
6057,0
6058,0
6059,0
6060,0
6061,1
6062,1
6063,1
6064,0
6065,1
6066,0
6067,0
6068,0
6069,1
6070,0
6071,1
6072,0
6073,1
6074,0
6075,1
6076,1
6077,0
6078,1
6079,0
6080,1
6081,0
6082,1
6083,0
6084,0
6085,0
6086,2
6087,0
6088,1
6089,2
6090,1
6091,0
6092,2
6093,1
6094,1
6095,1
6096,1
6097,1
6098,0
6099,1
6100,1
6101,2
6102,2
6103,0
6104,1
6105,1
6106,1
6107,2
6108,1
6109,0
6110,0
6111,0
6112,1
6113,0
6114,0
6115,0
6116,0
6117,1
6118,0
6119,0
6120,1
6121,0
6122,0
6123,2
6124,1
6125,1
